Interval,OvrFd Off,In Abnd,In Ans,In,Out Ans,Out,Max Wait (Seconds Value),Avg Wait (Seconds Value),Avg In Ans (Seconds Value),Avg Abnd (Seconds Value),% Svc (Other Value),Avg Rng (Out) (Seconds Value),Tot Tlk (Seconds Value),Avg Tlk (Seconds Value),Adv,Att Ret Abnd,Avg Answer (Other Value),Abnd After EM,Abnd Before EM,End On-Hold,Esc,Esc To,In Abnd Unique,Max Concr,Out Fail,OvrFd In,All Ans,All,UnMon,Unsuc Ret Abnd,Ans <= 15s,Abnd <= 60s,Avg Call (Seconds Value),Avg Held (Seconds Value),Avg Rng (In/Out) (Seconds Value),Max Call (Seconds Value),Max Held (Seconds Value),Max Talk (Seconds Value),Tot Call (Seconds Value),Tot Held (Seconds Value),Tot Rng (Seconds Value),Alerting (Seconds Value),Available (Seconds Value),Busy (Seconds Value),Handling (Seconds Value),N/A (Seconds Value)
01/01/2026 (00:00:00 - 00:59:59),0,2,40,42,5,6,6.952060461389888,2,0,0,100,0,17282.198543250055,432.0549635812514,0,0,0,0,0,0,0,0,0,0,1,0,45,48,0,0,38,1,0,0,0,1120.1265506833704,88.76760268762854,1025.7147037334732,18741.363462145113,1233.3951484043112,253.99099180208782,207.43908611488635,253288.76573056792,18948.80255,18741.363462145113,15762.431721172068
01/01/2026 (01:00:00 - 01:59:59),0,1,34,35,3,4,11.087289988823738,2,0,0,100,0,8811.440193,259.1600056818794,0,0,0,0,0,0,0,0,0,0,1,0,37,39,0,0,29,1,0,0,0,1093.969750864631,74.48292677993831,1014.5279802930993,9843.394117607848,863.3532355097757,183.47722028895325,119.44097192705205,260417.66468229276,9962.83509,9843.394117607848,17619.500228172376
01/01/2026 (02:00:00 - 02:59:59),0,2,42,44,8,9,36.30985133,7.348338259345085,0,0,100,0,8487.454436,202.0822484760452,0,0,0,0,0,0,0,0,0,0,1,0,50,53,0,0,35,1,0,0,0,672.2830505765063,91.55269972870187,571.9902538569803,9650.926318701073,796.3878091,437.00484954120384,173.5475931895774,263513.02840644604,9824.473911890651,9650.926318701073,14662.497681663324
01/01/2026 (03:00:00 - 03:59:59),0,0,37,37,4,4,28.314577846123356,8.350141860293048,0,0,100,0,11746.481806342274,317.4724812524939,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0,0,25,0,0,0,0,1103.441414750884,74.27818362,1018.609852003684,12911.762637392238,774.8058034330307,432.68854411605855,198.0299315921384,263409.2097731979,13109.792568984376,12911.762637392238,11480.997657817752
01/01/2026 (04:00:00 - 04:59:59),0,1,42,43,5,5,20.933090675608128,4.297361800646485,0,0,100,0,12982.051126018896,309.0964553814023,0,0,0,0,0,0,0,0,0,0,0,0,47,48,0,0,35,1,0,0,0,1034.6114066118744,81.26941668999845,944.2340118441731,14696.65427580247,1332.0680705200552,428.07496965203535,228.46322129836688,253443.29595482725,14925.117497100837,14696.65427580247,19631.58654807191
01/01/2026 (05:00:00 - 05:59:59),0,3,54,57,7,8,13.623684674498678,4.412057002442419,0,0,100,0,11768.990391544903,217.94426651009078,0,0,0,0,0,0,0,0,0,0,1,0,61,65,0,0,47,3,0,0,0,746.5228080820424,191.41751393588362,545.0631926079255,14492.974745703978,2181.7108710944804,612.5681938322253,298.12728038595867,254103.86780262413,14791.102026089937,14492.974745703978,19105.03017128597
01/01/2026 (06:00:00 - 06:59:59),0,2,61,63,7,7,11.898186736531386,3.6993267302360566,0,0,100,0,8268.830338,135.55459569731573,0,0,0,0,0,0,0,0,0,0,0,0,68,70,0,0,53,2,0,0,0,646.1929742,132.26527599743088,510.67787048404864,10333.39861236295,1866.328785587757,220.98828308602174,210.25404568663294,266678.72801500093,10543.652658049583,10333.39861236295,10777.619326949454
01/01/2026 (07:00:00 - 07:59:59),0,4,60,64,9,11,21.938196861565988,5.117035987875785,0,0,100,0,15739.175673540756,262.3195945590126,0,0,0,0,0,0,0,0,0,0,2,0,69,75,0,0,53,4,0,0,0,1137.0862141888585,105.57013564030838,1024.7808834704633,18329.853056218166,2186.565678,464.7284603880029,314.6048008702276,254722.91811983264,18644.457857088393,18329.853056218166,14632.624023078932
01/01/2026 (08:00:00 - 08:59:59),0,7,110,117,21,24,45.15982535244927,10.740513217513126,0,0,100,0,18897.552898478574,171.79593544071432,0,0,0,0,0,0,0,0,0,0,3,0,131,141,0,0,85,5,0,0,0,740.1577370718204,83.86957028196984,649.1748309008728,22242.086385313203,2562.0665390470745,931.8470015,585.1570433267908,253468.1736502638,22827.243428639995,22242.086385313203,11704.582921096193
01/01/2026 (09:00:00 - 09:59:59),0,11,173,184,28,31,107.32564657613572,18.90913754,0,0,100,0,28014.62136118035,161.9342275212737,0,0,0,0,0,0,0,0,0,0,3,0,201,215,0,0,96,7,0,0,0,384.78937166857025,32.020097361775505,342.68351671149264,32061.127116796262,2301.669691628654,2027.237277,728.1337514351513,244982.46609203937,32789.26086823142,32061.127116796262,10228.273039729218
01/01/2026 (10:00:00 - 10:59:59),0,15,165,180,24,27,121.22231046450631,20.245942489133032,0,0,100,0,51497.007642651675,312.10307662213137,0,0,0,0,0,0,0,0,0,0,3,0,189,207,0,0,84,13,0,0,0,917.3264742477519,69.35613264155967,838.0053710751703,56717.47105934134,3576.2432790710322,1883.3794303631614,788.4499178775329,218207.98603031147,57505.92097721887,56717.47105934134,12286.092992469681
01/01/2026 (11:00:00 - 11:59:59),0,20,214,234,32,35,131.7666986055826,29.767861774507395,0,0,100,0,44211.68082537533,206.59663937091278,0,0,0,0,0,0,0,0,0,0,3,0,246,269,0,0,71,16,0,0,0,595.2256498311551,172.8229568338508,418.54320080584483,53927.794424472435,8890.182270124775,949.4350790990252,1086.2679170041245,217006.50785333593,55014.06234147656,53927.794424472435,15979.429805187514
01/01/2026 (12:00:00 - 12:59:59),0,26,214,240,34,43,110.96748061777525,34.77175958771826,0,0,100,0,70661.76928645166,330.1951835815498,0,0,0,0,0,0,0,0,0,0,9,0,248,283,0,0,69,19,0,0,0,914.8130360543255,124.17469770696619,782.2596753153642,80930.16909,8475.365914549388,2077.9084319347908,780.9463766664703,197530.6593698116,81711.11546651447,80930.16909,8758.225163673917
01/01/2026 (13:00:00 - 13:59:59),0,21,210,231,37,42,111.49339254054217,26.966018897039277,0,0,100,0,41374.15883512304,197.0198039767764,0,0,0,0,0,0,0,0,0,0,5,0,247,273,0,0,85,16,0,0,0,538.9919341786043,96.27860958159727,436.8725732,46956.742596935124,4356.025971974471,1442.665590904241,684.4669443422324,229916.48869881703,47641.209541277356,46956.742596935124,10442.301759905631
01/01/2026 (14:00:00 - 14:59:59),0,29,220,249,31,37,244.71932512217256,41.619771601197414,0,0,100,0,35922.52416444131,163.28420074746052,0,0,0,0,0,0,0,0,0,0,6,0,251,286,0,0,58,23,0,0,0,459.12331385348375,56.82585156739694,396.8980205,41611.39430028775,4500.992946998661,1355.2598836399598,1291.6027212287936,234490.93353704718,42902.997021516545,41611.39430028775,10606.069441436272
01/01/2026 (15:00:00 - 15:59:59),0,18,209,227,30,33,105.05608987042235,26.64555923796369,0,0,100,0,55228.59494712341,264.25165046470534,0,0,0,0,0,0,0,0,0,0,3,0,239,260,0,0,97,15,0,0,0,904.9932967759462,118.2949364559271,781.1824562,63342.64585542258,6961.226941858078,1318.301090810613,1045.175242332766,204900.62199979302,64387.821097755346,63342.64585542258,18711.55690245164
01/01/2026 (16:00:00 - 16:59:59),0,15,219,234,23,25,106.36232316363225,32.63020400405149,0,0,100,0,50928.11827,232.5484852462507,0,0,0,0,0,0,0,0,0,0,2,0,242,259,0,0,72,12,0,0,0,540.2096441,46.38736761025989,483.68143384157514,56620.68267855737,3471.719875891183,2454.083913992808,665.7798657,213964.48689056825,57286.462544285176,56620.68267855737,16749.050565146583
01/01/2026 (17:00:00 - 17:59:59),0,6,134,140,26,27,62.601292447873554,13.936116400392848,0,0,100,0,65522.09438770317,488.97085363957586,0,0,0,0,0,0,0,0,0,0,1,0,160,167,0,0,83,4,0,0,0,1450.8048381187607,93.31327154,1353.713576746356,69412.84814754745,3384.503121633779,604.4783739826913,629.3028699037525,208152.35204137338,70042.15101745121,69412.84814754745,9805.496941175435
01/01/2026 (18:00:00 - 18:59:59),0,9,102,111,16,17,42.706168602765956,9.327275854074266,0,0,100,0,23190.41935,227.35705245445587,0,0,0,0,0,0,0,0,0,0,1,0,118,128,0,0,79,7,0,0,0,675.0631114,75.82736725302179,596.3220488522156,25430.55249678724,1942.9362307065433,343.8160397616786,591.7453521888622,251613.55181417157,26022.297848976104,25430.55249678724,10364.15033685233
01/01/2026 (19:00:00 - 19:59:59),0,4,119,123,21,23,36.148465363841815,6.904848512131975,0,0,100,0,29555.721788336577,248.36740998602167,0,0,0,0,0,0,0,0,0,0,2,0,140,146,0,0,90,3,0,0,0,661.8916558833494,126.20834345070737,525.7555706292765,33901.88552333555,3164.762460398476,1389.883852471169,433.0719229962126,239944.52936065695,34334.95744633176,33901.88552333555,13720.513193011297
01/01/2026 (20:00:00 - 20:59:59),0,2,67,69,6,9,14.600510342634191,4.568113807018967,0,0,100,0,5879.1123354195615,87.74794530476957,0,0,0,0,0,0,0,0,0,0,3,0,73,78,0,0,56,1,0,0,0,313.4636294859019,68.94181034135147,240.3993737298144,7304.408388981035,1149.0922107741624,300.93851527572775,256.04342687514855,269463.37110424356,7560.451815856184,7304.408388981035,10976.177079900308
01/01/2026 (21:00:00 - 21:59:59),0,2,54,56,13,13,37.296008140996484,10.18980267298925,0,0,100,0,15992.26329393029,296.15302396167203,0,0,0,0,0,0,0,0,0,0,0,0,67,69,0,0,35,2,0,0,0,968.3308902409548,117.54314016724335,844.3560284104481,18249.648795455745,1910.0725317092315,430.9253514386478,314.1319859602985,250900.6756014282,18563.780781416044,18249.648795455745,18535.543617155763
01/01/2026 (22:00:00 - 22:59:59),0,0,47,47,11,11,19.05000698790982,4.106969953994486,0,0,100,0,6495.807121,138.2086621531117,0,0,0,0,0,0,0,0,0,0,0,0,58,58,0,0,39,0,0,0,0,588.9897556423552,47.73622250341005,535.8766252544207,7774.881354155984,1026.3595623870829,311.8606573024206,179.5260315767082,264876.8869318087,7954.407385732692,7774.881354155984,15168.705682458569
01/01/2026 (23:00:00 - 23:59:59),0,0,38,38,6,6,15.884046684237944,4.667206049140073,0,0,100,0,5737.184598000065,150.9785420526333,0,0,0,0,0,0,0,0,0,0,0,0,44,44,0,0,32,0,0,0,0,637.0636339513135,63.468048506635135,568.0397590360791,6760.983327035708,812.6773255088702,244.4563619783679,123.83377789030772,260865.1439524903,6884.817104926015,6760.983327035708,20250.038942583666
02/01/2026 (00:00:00 - 00:59:59),0,0,42,42,7,7,10.238155784572028,2.995277835234684,0,0,100,0,6953.691134107794,165.56407462161414,0,0,0,0,0,0,0,0,0,0,0,0,49,49,0,0,38,0,0,0,0,392.43378705590936,46.54231724762561,342.74216295552674,7735.518474,649.5564519912317,154.3160357850936,214.5898673083126,261448.23823746477,7950.108341223133,7735.518474,18601.653421312076
